name,iso_a3,currency_code,local_price,dollar_ex,date
Sri Lanka,LKA,LKR,210.0,107.55,2008/6/1
Sweden,SWE,SEK,38.0,5.96085,2008/6/1
Switzerland,CHE,CHF,6.5,1.02215,2008/6/1
Taiwan,TWN,TWD,75.0,30.3625,2008/6/1
Thailand,THA,THB,62.0,33.36,2008/6/1
Turkey,TUR,TRY,5.15,1.19275,2008/6/1
UAE,ARE,AED,10.0,3.67285,2008/6/1
Ukraine,UKR,UAH,11.0,4.6,2008/6/1
United States,USA,USD,3.57,1.0,2008/6/1
Uruguay,URY,UYU,61.0,19.15,2008/6/1
Argentina,ARG,ARS,11.5,3.81125,2009/7/1
Australia,AUS,AUD,4.34,1.2869,2009/7/1
Brazil,BRA,BRL,8.03,1.9971,2009/7/1
Britain,GBR,GBP,2.29,0.620886626,2009/7/1
Canada,CAN,CAD,3.89,1.16085,2009/7/1
Chile,CHL,CLP,1750.0,548.55,2009/7/1
China,CHN,CNY,12.5,6.8327,2009/7/1
Colombia,COL,COP,7000.0,2095.6,2009/7/1
Costa Rica,CRI,CRC,2000.0,582.57,2009/7/1
Czech Republic,CZE,CZK,67.92,18.66155,2009/7/1
Denmark,DNK,DKK,29.5,5.3375,2009/7/1
Egypt,EGY,EGP,13.0,5.58475,2009/7/1
Euro area,EUZ,EUR,3.31,0.7168972690000001,2009/7/1
Hong Kong,HKG,HKD,13.3,7.7505,2009/7/1
Hungary,HUN,HUF,720.0,199.1577,2009/7/1
Indonesia,IDN,IDR,20900.0,10200.0,2009/7/1
Israel,ISR,ILS,15.0,3.97425,2009/7/1
Japan,JPN,JPY,320.0,92.565,2009/7/1
Malaysia,MYS,MYR,6.77,3.602,2009/7/1
Mexico,MEX,MXN,33.0,13.8104,2009/7/1
New Zealand,NZL,NZD,4.9,1.59235,2009/7/1
Norway,NOR,NOK,40.0,6.50925,2009/7/1
Pakistan,PAK,PKR,190.0,82.6,2009/7/1
Poland,POL,PLN,7.6,3.15525,2009/7/1
Russia,RUS,RUB,67.0,32.7959,2009/7/1
Saudi Arabia,SAU,SAR,11.0,3.7504,2009/7/1
Singapore,SGP,SGD,4.22,1.4645,2009/7/1
South Africa,ZAF,ZAR,17.95,8.2805,2009/7/1
South Korea,KOR,KRW,3400.0,1314.5,2009/7/1
Sri Lanka,LKA,LKR,210.0,114.86,2009/7/1
Sweden,SWE,SEK,39.0,7.90915,2009/7/1
Switzerland,CHE,CHF,6.5,1.08605,2009/7/1
Taiwan,TWN,TWD,75.0,33.1755,2009/7/1
Thailand,THA,THB,64.49,34.165,2009/7/1
Turkey,TUR,TRY,5.65,1.55005,2009/7/1
UAE,ARE,AED,10.0,3.673,2009/7/1
Argentina,ARG,ARS,7.0,3.7985,2010/1/1
Australia,AUS,AUD,4.35,1.09355,2010/1/1
Brazil,BRA,BRL,8.2,1.7233,2010/1/1
Britain,GBR,GBP,2.29,0.623752495,2010/1/1
Canada,CAN,CAD,4.12,1.0368,2010/1/1
Chile,CHL,CLP,1600.0,503.1,2010/1/1
China,CHN,CNY,12.5,6.8272,2010/1/1
Colombia,COL,COP,8200.0,2095.6,2010/1/1
Costa Rica,CRI,CRC,2050.0,582.57,2010/1/1
Czech Republic,CZE,CZK,67.64,18.21005,2010/1/1
Denmark,DNK,DKK,30.94,5.16195,2010/1/1
Egypt,EGY,EGP,13.0,5.465,2010/1/1
Euro area,EUZ,EUR,3.36,0.693649638,2010/1/1
Hong Kong,HKG,HKD,14.8,7.75655,2010/1/1
Hungary,HUN,HUF,720.0,186.6508,2010/1/1
Indonesia,IDN,IDR,20900.0,9320.0,2010/1/1
Israel,ISR,ILS,14.9,3.7325,2010/1/1
Japan,JPN,JPY,320.0,91.54,2010/1/1
Malaysia,MYS,MYR,7.05,3.3875,2010/1/1
Mexico,MEX,MXN,32.0,12.81375,2010/1/1
New Zealand,NZL,NZD,4.9,1.35685,2010/1/1
Norway,NOR,NOK,40.0,5.69555,2010/1/1
Pakistan,PAK,PKR,200.0,82.6,2010/1/1
Peru,PER,PEN,8.056000000000001,2.8705,2010/1/1
Philippines,PHL,PHP,101.52,45.92,2010/1/1
Poland,POL,PLN,8.1,2.83565,2010/1/1
Russia,RUS,RUB,70.0,29.927,2010/1/1
Saudi Arabia,SAU,SAR,10.0,3.7502,2010/1/1
Singapore,SGP,SGD,4.45,1.39555,2010/1/1
South Africa,ZAF,ZAR,17.95,7.3045,2010/1/1
South Korea,KOR,KRW,3400.0,1140.5,2010/1/1
Sri Lanka,LKA,LKR,210.0,114.86,2010/1/1
Sweden,SWE,SEK,39.0,7.0821,2010/1/1
Switzerland,CHE,CHF,6.5,1.03115,2010/1/1
Taiwan,TWN,TWD,75.0,31.8425,2010/1/1
Thailand,THA,THB,70.0,33.135,2010/1/1
Turkey,TUR,TRY,5.65,1.47455,2010/1/1
UAE,ARE,AED,11.0,3.673,2010/1/1
Ukraine,UKR,UAH,14.0,7.66,2010/1/1
United States,USA,USD,3.58,1.0,2010/1/1
Uruguay,URY,UYU,77.0,23.17,2010/1/1
Argentina,ARG,ARS,14.0,3.93375,2010/7/1
Australia,AUS,AUD,4.35,1.133722578,2010/7/1
Brazil,BRA,BRL,8.71,1.77495,2010/7/1
Britain,GBR,GBP,2.29,0.657375756,2010/7/1
Canada,CAN,CAD,4.17,1.04235,2010/7/1
Chile,CHL,CLP,1750.0,523.65,2010/7/1
China,CHN,CNY,13.2,6.7769,2010/7/1
Colombia,COL,COP,8200.0,1868.45,2010/7/1
Costa Rica,CRI,CRC,2000.0,522.115,2010/7/1
Czech Republic,CZE,CZK,67.64,19.7476,2010/7/1
Denmark,DNK,DKK,28.5,5.81365,2010/7/1
Egypt,EGY,EGP,13.0,5.699,2010/7/1
Euro area,EUZ,EUR,3.3800310710000003,0.78015291,2010/7/1
Hong Kong,HKG,HKD,14.8,7.7742,2010/7/1
Hungary,HUN,HUF,740.0,221.96915,2010/7/1
Indonesia,IDN,IDR,22780.0,9063.0,2010/7/1
Israel,ISR,ILS,14.9,3.8619,2010/7/1
Japan,JPN,JPY,320.0,87.18,2010/7/1
Malaysia,MYS,MYR,7.05,3.2135,2010/7/1
Mexico,MEX,MXN,32.0,12.782,2010/7/1
New Zealand,NZL,NZD,5.0,1.39275766,2010/7/1
Norway,NOR,NOK,45.0,6.24625,2010/7/1
Pakistan,PAK,PKR,210.0,85.525,2010/7/1
Peru,PER,PEN,10.0,2.8275,2010/7/1
Philippines,PHL,PHP,102.0,46.47,2010/7/1
Poland,POL,PLN,8.3,3.1969,2010/7/1
Russia,RUS,RUB,71.0,30.44325,2010/7/1
Saudi Arabia,SAU,SAR,10.0,3.75045,2010/7/1
Singapore,SGP,SGD,4.23,1.3742,2010/7/1
South Africa,ZAF,ZAR,18.45,7.5365,2010/7/1
South Korea,KOR,KRW,3400.0,1204.45,2010/7/1
Sri Lanka,LKA,LKR,210.0,112.775,2010/7/1
Sweden,SWE,SEK,48.4,7.37355,2010/7/1
Switzerland,CHE,CHF,6.5,1.05085,2010/7/1
Taiwan,TWN,TWD,75.0,32.1055,2010/7/1
Thailand,THA,THB,70.0,32.305,2010/7/1
Turkey,TUR,TRY,5.95,1.5293,2010/7/1
UAE,ARE,AED,11.0,3.67285,2010/7/1
Ukraine,UKR,UAH,14.5,7.899,2010/7/1
United States,USA,USD,3.733333333,1.0,2010/7/1
Uruguay,URY,UYU,79.0,21.1,2010/7/1
Argentina,ARG,ARS,20.0,4.1325,2011/7/1
Australia,AUS,AUD,4.56,0.9223815890000001,2011/7/1
Austria,AUT,EUR,3.09,0.697520315,2011/7/1
Belgium,BEL,EUR,3.75,0.697520315,2011/7/1
